date	fdi_inward_mln_usd	fdi_outward_mln_usd	fdi_net_mln_usd
1960-01-01	315.0	2940.0	-2625.0
1961-01-01	311.0	2653.0	-2342.0
1962-01-01	346.0	2851.0	-2505.0
1963-01-01	231.0	3483.0	-3252.0
1964-01-01	322.0	3760.0	-3438.0
1965-01-01	415.0	5011.0	-4596.0
1966-01-01	425.0	5418.0	-4993.0
1967-01-01	698.0	4805.0	-4107.0
1968-01-01	807.0	5295.0	-4488.0
1969-01-01	1263.0	5960.0	-4697.0
1970-01-01	1464.0	7590.0	-6126.0
1971-01-01	367.0	7618.0	-7251.0
1972-01-01	949.0	7747.0	-6798.0
1973-01-01	2800.0	11353.0	-8553.0
1974-01-01	4760.0	9052.0	-4292.0
1975-01-01	2603.0	14244.0	-11641.0
1976-01-01	4347.0	11949.0	-7602.0
1977-01-01	3728.0	11890.0	-8162.0
1978-01-01	7897.0	16056.0	-8159.0
1979-01-01	11877.0	25222.0	-13345.0
1980-01-01	16918.0	19222.0	-2304.0
1981-01-01	25195.0	9624.0	15571.0
1982-01-01	12635.0	4556.0	8079.0
1983-01-01	10372.0	12528.0	-2156.0
1984-01-01	24468.0	16407.0	8061.0
1985-01-01	19742.0	18927.0	815.0
1986-01-01	35420.0	23995.0	11425.0
1987-01-01	58470.0	35034.0	23436.0
1988-01-01	57735.0	22528.0	35207.0
1989-01-01	68274.0	43447.0	24827.0
1990-01-01	48494.0	37183.0	11311.0
1991-01-01	23171.0	37889.0	-14718.0
1992-01-01	19823.0	48266.0	-28443.0
1993-01-01	51362.0	83950.0	-32588.0
1994-01-01	46121.0	80167.0	-34046.0
1995-01-01	57776.0	98750.0	-40974.0
1996-01-01	86502.0	91885.0	-5383.0
1997-01-01	105603.0	104803.0	800.0
1998-01-01	179045.0	142644.0	36401.0
1999-01-01	312449.0	247484.0	64965.0
2000-01-01	349124.0	186371.0	162753.0
2001-01-01	172496.0	146041.0	26455.0
2002-01-01	111056.0	178984.0	-67928.0
2003-01-01	117107.0	195218.0	-78111.0
2004-01-01	213642.0	374006.0	-160364.0
2005-01-01	142345.0	52591.0	89754.0
2006-01-01	298464.0	283800.0	14664.0
2007-01-01	346615.0	523889.0	-177274.0
2008-01-01	341091.0	343584.0	-2493.0
2009-01-01	161082.0	312597.0	-151515.0
2010-01-01	264039.0	349829.0	-85790.0
2011-01-01	263499.0	436615.0	-173116.0
2012-01-01	250343.0	377239.0	-126896.0
2013-01-01	288131.0	392796.0	-104665.0
2014-01-01	251857.0	387528.0	-135671.0
2015-01-01	511434.0	302072.0	209362.0
2016-01-01	474388.0	299814.0	174574.0
2017-01-01	380823.0	409413.0	-28590.0
2018-01-01	214716.0	-130720.0	345436.0
2019-01-01	315983.0	114924.0	201059.0
2020-01-01	137068.0	282333.0	-145265.0
2021-01-01	477955.0	342152.0	135803.0
2022-01-01	416890.0	388845.0	28045.0
2023-01-01	361946.0	351084.0	10862.0
2024-01-01	297059.0	322165.0	-25106.0
2025-01-01	400520.0	422226.0	-21706.0
