year	pep	pfaqi	wage_2017	ecp	ecp_2017	pnos	pfans	pfans_avr	pfans_2017	pfans_2017_avr	occ	pr
1925		5.698	71427.9207354993				223.4		3920.67392067392			
1926		6.032	71427.9207354993				231.6	227.475367829772	3839.5225464191	3879.95679087322		
1927		5.774	71427.9207354993				236.9	234.240006773854	4102.87495670246	3969.74296029808		
1928		5.635	71427.9207354993				248.6	242.702999929163	4411.71251109139	4255.42607400902		
1929	42.454	5.376	71427.9207354993	45.996	3032.40094690489	35.2	251.7	250.146798554738	4681.91964285714	4545.47761120347	1.49896985616066	11.886157681965
1930	40.22	4.173	71427.9207354993	41.52	2872.83097198178	28.3	239.4	245.498647486655	5736.87994248742	5191.54743987392	1.80711900230336	9.8599865366991
1931	37.115	2.933	71427.9207354993	34.317	2651.04727809806	20.5	205.4	221.966169550303	7003.06853051483	6348.94486587478	2.39488179570668	7.99896459684461
1932	33.711	1.861	71427.9207354993	25.907	2407.90663591442	13.1	187.6	196.365558306842	10080.6018269747	8448.62143330483	3.50869975907368	5.89366501190658
1933	33.692	1.582	71427.9207354993	24.214	2406.54950542044	12.1	196.5	192.015624688059	12420.9860935525	11210.1057953257	4.65816546473548	5.59590297465294
1934	36.18	1.959	71427.9207354993	28.024	2584.26217221036	16.3	198.6	197.54813969745	10137.8254211332	11240.7871547823	4.34970850700022	7.2260696830125
1935	37.387	2.425	71427.9207354993	30.613	2670.47567253811	20.9	199.5	199.049660888757	8226.80412371134	9149.07507731885	3.42600952010293	9.10030386268294
1936	39.325	3.143	71427.9207354993	34.797	2808.90298292351	23.4	220.4	209.776506726854	7012.40852688514	7603.44995270283	2.70691084702013	9.56767571155355
1937	41.129	3.665	71427.9207354993	40.152	2937.75895193035	26.4	231.7	226.002919236445	6321.96452933151	6661.22381528985	2.26745077601172	9.91903515281147
1938	38.652	3.133	71427.9207354993	36.462	2760.83199226852	22.8	232	231.849967651492	7405.04308969039	6849.23737232806	2.48085989712839	8.49757101763524
1939	40.008	3.615	71427.9207354993	39.574	2857.68825278586	25.1	235.6	233.795380594221	6517.28907330567	6951.72126153156	2.43263807896281	9.18171594252447
1940	41.762	4.164	71427.9207354993	43.352	2982.97282575592	29.5	254.4	244.879735085344	6109.51008645533	6311.20411751404	2.11574308120447	10.2348202536633
1941	45.321	4.634	71427.9207354993	54.267	3237.18479565356	40.1	282.8	268.349577434234	6102.71903323263	6106.1139304419	1.88624200219905	12.4296154645601
1942	47.707	2.894	71427.9207354993	68.905	3407.61181452846	52.9	302.3	292.441653081031	10445.7498272287	8080.64713233448	2.3713520119523	14.6396817429875
1943	48.27	2.238	71427.9207354993	82.507	3447.82573390255	62.3	317.1	309.641052266107	14168.9008042895	12212.8866167494	3.54219950755044	15.8868569255889
1944	47.173	2.658	71427.9207354993	87.523	3369.46930485571	63.5	329.3	323.161619703691	12389.0142964635	13259.0526282315	3.93505665984969	15.4619863889267
1945	45.685	3.506	71427.9207354993	86.369	3263.18455880129	60.7	353	341.012750784979	10068.4540787222	11188.6553247242	3.42875345329358	14.202758982692
1946	48.269	6.045	71427.9207354993	95.373	3447.75430598181	62.6	434	392.10659950637	7179.48717948718	8542.70967865133	2.47776057123033	12.8415630240506
1947	50.563	7.26	71427.9207354993	110.388	3611.60995614905	67.6	516.6	474.10136200982	7115.70247933884	7147.54739493014	1.97904742807591	11.5656510441099
1948	51.489	8.002	71427.9207354993	121.529	3677.75221075012	80	562.2	539.078600970595	7025.74356410897	7070.62764376262	1.92254051893303	12.1100635055455
1949	49.641	7.356	71427.9207354993	119.169	3545.75341323092	73.8	581.1	571.597923257966	7899.67373572594	7454.17227808946	2.10228163365065	10.6837773372133
1950	51.095	8.728	71427.9207354993	131.318	3649.60960998034	84.9	655.8	617.69737547228	7513.74885426214	7705.10054608963	2.11121225816017	11.3348808022089
1951	53.024	8.383	71427.9207354993	150.726	3787.39406907911	96.4	713.9	684.439054636945	8516.04437552189	8004.4406074644	2.11344276868729	11.5426285456719
1952	53.335	8.329	71427.9207354993	161.201	3809.60815242785	96.7	751.9	732.735782634645	9027.49429703446	8769.28370762997	2.30188600946828	10.8173197342884
1953	54.152	8.927	71427.9207354993	174.365	3867.96476366876	98.1	783.3	767.492948799814	8774.50431275905	8900.40005214863	2.30105510157404	10.4155833822931
1954	52.383	9.081	71427.9207354993	172.671	3741.60877188766	98.9	815.2	799.143888218871	8976.98491355578	8875.35967065384	2.3720704680132	10.1768352387832
1955	53.53	10.211	71427.9207354993	187.217	3823.53659697128	112.6	888.8	851.469908301524	8704.33845852512	8839.96093906288	2.31198543936136	10.840610303265
